Cl1984,CostzPr_6_84_1,CostzPr_6_84_2,MSAVI_22_06_84,NDVI_22_06_84,SAVI_22_06_84,CostzPr_6_84_3,CostzPr_6_84_4,CostzPr_6_84_5,CostzPr_6_84_6,entropy_22_6_84_b4,entropy_22_6_84_b5,entropy_22_6_84_b7,homogeneity_22_6_84_b4,homogeneity_22_6_84_b5,homogeneity_22_6_84_b7,mean_22_6_84_b4,mean_22_6_84_b5,mean_22_6_84_b7,variance_22_6_84_b4,variance_22_6_84_b5,variance_22_6_84_b7
Set,65,34,-0.492924064,0.142857149,0.213114753,39,52,93,58,1.599971414,1.783073425,1.273028374,0.550000012,0.405555546,0.75,0.3984375,0.370659709,0.231770828,148.2646484,131.184082,50.65441132
Set,63,31,-0.589586675,0.111111112,0.165644169,36,45,80,50,1.599971414,1.629040718,1.445938706,0.655555546,0.516666651,0.688888907,0.366319448,0.349826396,0.223958328,125.6681442,116.3484573,47.75386429
Set,65,34,-0.622350276,0.101123594,0.150837988,40,49,85,53,1.966175556,1.706057072,1.273028374,0.527777791,0.74444443,0.777777791,0.374131948,0.347222209,0.215277776,138.744339,116.4045639,44.85810089
Set,67,34,-0.590605795,0.111111112,0.165745854,40,50,75,46,1.599971414,1.629040718,1.416869402,0.638888896,0.644444466,0.666666687,0.379340291,0.335069448,0.206597224,140.6489258,107.8530884,40.77843475
Set,67,35,-0.643673182,0.094736844,0.141361251,43,52,79,49,1.397991657,1.812142849,1.475008011,0.75,0.672222197,0.75,0.381076396,0.344618052,0.212673604,143.0786743,114.6483383,43.49566269
Set,64,33,-0.573923826,0.116279073,0.173410401,38,48,85,50,1.181974649,0.67577517,0.17441605,0.805555582,0.916666687,0.972222209,0.365451396,0.346354157,0.217881948,130.414032,115.9787598,45.99712753
Set,62,31,-0.661634922,0.088607594,0.132075474,36,43,76,46,1.937106133,1.706057072,1.52295506,0.683333337,0.705555558,0.694444418,0.377604157,0.337673604,0.212673604,139.1073151,109.3908463,43.49565506
Set,63,32,-0.492346346,0.142857149,0.213017747,36,48,75,46,1.889159203,1.599971414,1.552024364,0.572222233,0.75,0.638888896,0.3828125,0.348090291,0.216145828,138.9851074,116.3858261,44.84648895
Set,66,33,-0.640746713,0.095238097,0.142011836,38,46,85,51,1.658110142,1.552024364,1.075888991,0.611111104,0.777777791,0.833333313,0.369791657,0.34375,0.213541672,133.2328033,111.5209427,43.26203918
Set,63,30,-0.47073558,0.150000006,0.223602489,34,46,78,48,1.706057072,1.629040718,0.843228579,0.572222233,0.633333325,0.861111104,0.379340291,0.34375,0.216145828,138.1776733,114.0001373,44.62426758
Set,61,31,-0.624826849,0.100000001,0.149068326,36,44,82,50,1.042973995,1.397991657,0.516285479,0.783333361,0.805555582,0.916666687,0.353298604,0.332465291,0.216145828,115.8292923,104.7584915,44.62426758
Set,61,31,-0.624826849,0.100000001,0.149068326,36,44,82,50,1.042973995,1.397991657,0.516285479,0.783333361,0.805555582,0.916666687,0.353298604,0.332465291,0.216145828,115.8292923,104.7584915,44.62426758
